age,workclass,final_weight,education,education-num,marital-status,occupation,relationship,race,sex,cap-gain,cap-loss,hours-per-week,area
1.3,4.0,-0.02163155069449104,0.0,6.0,5.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0
-0.15,4.0,0.4435516338992149,6.0,5.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,10.0
0.3,1.0,0.3035043279876535,15.0,10.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.4,6.0,0.26846943568409043,11.0,9.0,2.0,12.0,0.0,4.0,1.0,15024.0,0.0,8.0,10.0
-0.1,4.0,-0.7240823995168758,12.0,14.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
-0.45,4.0,-0.13992149231698317,11.0,9.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.15,4.0,-1.2507632691404416,7.0,12.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
0.7,4.0,0.3633161108501644,12.0,14.0,2.0,12.0,0.0,4.0,1.0,15024.0,0.0,2.0,10.0
0.9,2.0,-0.5959202845064752,12.0,14.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.85,4.0,0.3812571294370261,11.0,9.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
1.15,5.0,-0.713648258739851,5.0,4.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.15,4.0,1.143142320338187,6.0,5.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.8,4.0,1.48834127356908,15.0,10.0,6.0,12.0,4.0,4.0,0.0,0.0,0.0,-2.0,10.0
0.1,4.0,1.076041736563108,15.0,10.0,2.0,12.0,0.0,4.0,1.0,3103.0,0.0,2.0,10.0
0.0,4.0,0.47427531369522913,15.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0
0.95,2.0,1.607805475407636,9.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.3,1.0,-0.6459353821378246,11.0,9.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.45,2.0,-0.1970492518284909,6.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0
0.8,4.0,-0.830638126551701,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.1,4.0,-0.18140642823592565,11.0,9.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.05,0.0,-0.6995403610011407,8.0,11.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,-4.0,10.0
-0.6,4.0,2.4436438972019054,15.0,10.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0
0.3,5.0,-0.22870395222438436,11.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
0.5,4.0,-0.6120831376232974,11.0,9.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
0.0,4.0,1.4295779373280548,9.0,13.0,0.0,8.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
0.5,4.0,0.08062973897872912,1.0,7.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,-0.4,10.0
0.05,4.0,3.6023954908407703,9.0,13.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.6,2.0,-0.8442763202039858,15.0,10.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0
-0.05,4.0,1.9022931624505133,4.0,3.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0
-0.6,4.0,0.6169814802388781,9.0,13.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
0.9,7.0,-1.2754646715426423,8.0,11.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,-0.4,10.0
-0.85,4.0,0.083406025632423,15.0,10.0,4.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.35,6.0,2.8915235187546133,15.0,10.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,10.0
-0.25,4.0,-0.20355800845467356,11.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
1.0,4.0,-1.0774927866872441,12.0,14.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.85,4.0,2.9378313091323895,4.0,3.0,4.0,8.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0
-0.6,0.0,1.3953818023216802,11.0,9.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,-7.2,10.0
-0.35,4.0,1.2671022612896732,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.9,4.0,0.07545460645507616,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.9,4.0,0.8522780648191639,15.0,10.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,-4.0,10.0
-0.15,4.0,-0.19463363081258808,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.5,4.0,0.14242937663557673,15.0,10.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.25,4.0,0.05102999396094746,15.0,10.0,2.0,7.0,0.0,4.0,1.0,3464.0,0.0,0.0,10.0
0.65,4.0,-1.2005300946118231,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.2,6.0,-0.09125679393410722,1.0,7.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,-6.6,10.0
0.35,4.0,-0.8982000268402335,15.0,10.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0
0.15,2.0,-1.2657854123330874,9.0,13.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0
-0.25,4.0,-0.26061866738240624,8.0,11.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
-0.05,4.0,0.998901227940683,9.0,13.0,0.0,10.0,1.0,4.0,1.0,14084.0,0.0,0.0,10.0
-0.85,4.0,1.0501996242367309,15.0,10.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0
-0.45,4.0,-0.6905992082131115,9.0,13.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.25,6.0,-0.7904197141515131,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
2.25,5.0,-0.40282996712071395,5.0,4.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
-0.2,4.0,0.17505703549620882,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,10.0
0.3,4.0,-0.8606824129369925,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.3,4.0,-0.00378279541032007,11.0,9.0,2.0,6.0,0.0,4.0,1.0,3908.0,0.0,0.0,10.0
-0.65,4.0,0.8370713950211367,15.0,10.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,-2.0,10.0
-0.2,6.0,0.47737871569482654,9.0,13.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0
2.05,0.0,-0.10620344897000604,12.0,14.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,-5.0,10.0
-0.6,4.0,0.4722958464738643,8.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
0.4,4.0,-0.5359407501845266,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
-0.3,4.0,-0.3924377642085486,6.0,5.0,4.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.9,0.0,1.0879353150372408,11.0,9.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0
0.65,6.0,-0.09206200093940817,5.0,4.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.95,4.0,0.31439139770516006,15.0,10.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,4.0,7.0
-0.8,4.0,-0.1315926323559015,9.0,13.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,8.0
-0.85,4.0,-0.33936959001543315,11.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
0.55,4.0,0.2608870697175065,11.0,9.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
0.05,4.0,-1.0403861638596257,15.0,10.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.05,7.0,-0.26083674427967524,15.0,10.0,0.0,14.0,1.0,4.0,1.0,0.0,0.0,4.0,10.0
1.0,4.0,1.0077752801449373,9.0,13.0,2.0,10.0,0.0,4.0,1.0,3103.0,0.0,0.0,10.0
0.4,2.0,-0.15000335502918877,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,1977.0,2.0,10.0
1.35,0.0,0.12318828423807288,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.4,4.0,-0.710377105280816,15.0,10.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,-3.2,10.0
0.25,2.0,-0.6609575253304704,15.0,10.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
1.2,4.0,-1.0667818560021471,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,3.0,10.0
-0.65,4.0,-0.01649835603569751,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.05,6.0,0.46280111386969064,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
1.0,4.0,2.079338052741059,12.0,14.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,10.0
0.1,4.0,-1.2918036636918742,9.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.55,6.0,0.5748423136281285,14.0,15.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
0.2,4.0,-0.593605314366235,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.3,6.0,0.5184694356840904,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0
-0.4,4.0,-0.8111454069650406,11.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,1887.0,3.0,10.0
-0.6,2.0,0.594326645641817,15.0,10.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0
0.45,4.0,4.336836542977924,11.0,9.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.8,10.0
-0.15,0.0,0.7464604442058645,1.0,7.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,-2.0,10.0
-0.5,1.0,-1.1064383010132188,9.0,13.0,4.0,11.0,1.0,4.0,0.0,0.0,0.0,-1.0,10.0
1.35,4.0,-0.8620663624773536,5.0,4.0,2.0,1.0,0.0,4.0,1.0,2580.0,0.0,2.0,10.0
0.5,5.0,-0.5152402200899148,11.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.4,10.0
-0.95,0.0,-0.17802623632825607,11.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,-5.6,10.0
0.8,6.0,-0.03568073542239818,5.0,4.0,2.0,4.0,0.0,4.0,1.0,4386.0,0.0,2.0,4.0
0.2,2.0,-0.013755619673891164,11.0,9.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.4,4.0,1.0289455143259747,11.0,9.0,2.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0
0.35,4.0,-0.05814265584110582,9.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.15,4.0,0.322988660001342,11.0,9.0,0.0,8.0,4.0,4.0,0.0,0.0,3770.0,1.0,10.0
0.45,1.0,-0.6751409112259277,8.0,11.0,2.0,1.0,0.0,4.0,1.0,5178.0,0.0,0.0,10.0
0.0,4.0,1.0672431725156009,9.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
-0.1,4.0,0.648745219083406,11.0,9.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,-2.6,10.0
-0.15,4.0,-1.0553160437495805,11.0,9.0,4.0,14.0,4.0,2.0,1.0,0.0,0.0,-2.0,10.0
-0.45,4.0,-0.1410622022411595,9.0,13.0,4.0,13.0,1.0,4.0,0.0,0.0,0.0,-1.0,10.0
0.35,7.0,-0.6886784540025498,15.0,10.0,2.0,4.0,0.0,4.0,1.0,3411.0,0.0,0.0,10.0
-0.8,4.0,-0.7822921559417567,15.0,10.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,-0.6,10.0
0.2,4.0,1.285772998725089,14.0,15.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0
0.35,4.0,0.03366771790914581,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.15,4.0,0.6694457491780178,11.0,9.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,-0.4,10.0
0.05,6.0,-0.582173052405556,15.0,10.0,2.0,7.0,0.0,4.0,1.0,7688.0,0.0,0.0,10.0
-0.2,6.0,-0.0044286385291552035,11.0,9.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0
0.45,4.0,-1.2592347178420453,15.0,10.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,3.6,10.0
1.1,2.0,-0.714159900691136,9.0,13.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,-3.6,10.0
0.4,2.0,1.2843554988928403,7.0,12.0,0.0,13.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.4,4.0,-0.035169093471113196,15.0,10.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
1.0,4.0,3.102563242300208,2.0,8.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0
-0.55,4.0,0.9388210427430719,11.0,9.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0
-0.7,6.0,0.05044286385291552,11.0,9.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.5,4.0,-0.13984600416023618,1.0,7.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,0.4,10.0
-0.2,4.0,3.487812856471851,12.0,14.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,1.0,10.0
0.05,4.0,0.2214319264577602,11.0,9.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.25,4.0,-0.07142018385559955,15.0,10.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,3.0,10.0
-0.3,4.0,-0.5560457625981347,9.0,13.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.6,7.0,0.6601690934711132,15.0,10.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.4,10.0
1.1,1.0,-1.09251492987989,12.0,14.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0
-0.35,4.0,0.2542441119237737,7.0,12.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,-3.0,10.0
-0.25,7.0,-0.4975759914111253,11.0,9.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.1,4.0,-0.626098772059317,11.0,9.0,4.0,12.0,4.0,4.0,0.0,0.0,0.0,4.0,10.0
0.45,4.0,0.0833473126216198,11.0,9.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
0.25,2.0,-0.15454103200697847,9.0,13.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,1.0,10.0
0.2,4.0,0.27993524793665703,15.0,10.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0
0.6,1.0,-0.6103636851640609,8.0,11.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0
-0.9,4.0,0.3424897671609743,2.0,8.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,-3.0,10.0
-0.6,4.0,-0.9670368382204925,15.0,10.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.65,4.0,-1.2926340334160906,11.0,9.0,4.0,3.0,1.0,4.0,1.0,0.0,1590.0,0.0,10.0
0.2,2.0,1.3816261826477891,9.0,13.0,2.0,10.0,5.0,4.0,0.0,0.0,1740.0,-4.0,10.0
1.05,4.0,0.3778098369455814,7.0,12.0,2.0,9.0,2.0,4.0,0.0,0.0,0.0,-1.0,7.0
0.1,4.0,-0.3368784808427833,9.0,13.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.5,7.0,-0.25317889015634437,10.0,16.0,0.0,10.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0
-0.4,4.0,0.047993692545125144,11.0,9.0,4.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.05,4.0,0.12304569549755083,9.0,13.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.65,4.0,0.018167483057102595,15.0,10.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,-0.4,10.0
-0.6,6.0,0.3243809971146749,11.0,9.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,-2.0,10.0
-0.85,4.0,-0.7826863718714353,15.0,10.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,-4.0,10.0
0.2,4.0,-0.5044621888210428,9.0,13.0,2.0,3.0,0.0,4.0,1.0,3103.0,0.0,0.0,10.0
-0.05,4.0,-0.8550208011809702,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,2.4,10.0
1.4,5.0,0.2686120244246125,9.0,13.0,2.0,4.0,0.0,4.0,1.0,99999.0,0.0,5.0,10.0
-0.1,4.0,0.2408072200228142,9.0,13.0,4.0,12.0,1.0,4.0,1.0,10520.0,0.0,1.0,10.0
0.8,6.0,-0.6670385157350869,9.0,13.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,2.0,10.0
0.6,4.0,-0.4721364825873985,11.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,-2.0,4.0
0.3,4.0,-0.37552841709722873,15.0,10.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
1.05,5.0,0.030346239012279407,10.0,16.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,11.8,7.0
-0.5,4.0,0.3258068845198953,15.0,10.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
1.0,6.0,1.2543196000805208,0.0,6.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.65,4.0,0.03343286586593303,9.0,13.0,4.0,12.0,3.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.1,0.0,-0.4978024558813662,11.0,9.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,-0.4,10.0
0.3,4.0,0.04536838220492518,15.0,10.0,0.0,13.0,1.0,4.0,1.0,0.0,0.0,0.0,7.0
-0.15,5.0,1.1408692880628062,15.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
1.3,6.0,1.8971935180836073,11.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,-2.0,10.0
1.15,0.0,0.10625377440783734,11.0,9.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.35,0.0,0.21369858417768234,9.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0
-0.95,4.0,0.5075404281017245,1.0,7.0,4.0,6.0,3.0,4.0,1.0,0.0,1602.0,0.0,10.0
1.35,6.0,0.9342498154733946,15.0,10.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,-4.0,10.0
0.0,4.0,1.696453734147487,7.0,12.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,-5.4,10.0
1.4,0.0,-0.5132691404415218,8.0,11.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,3.2,10.0
0.2,5.0,1.018729450446219,6.0,5.0,2.0,12.0,5.0,4.0,0.0,0.0,0.0,6.0,1.0
0.1,2.0,1.4617191169563175,7.0,12.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,2.0,10.0
0.75,4.0,-0.1231127960813259,11.0,9.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,3.0,10.0
0.75,6.0,0.14347782325706235,11.0,9.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,11.6,10.0
0.85,4.0,-0.2643930752197544,0.0,6.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.45,4.0,-1.0858719720861572,11.0,9.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.7,7.0,-0.6271220559618869,15.0,10.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,-3.0,10.0
-0.95,4.0,0.07451519828222505,1.0,7.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,-4.4,10.0
0.5,4.0,-1.303898543917332,11.0,9.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.15,4.0,0.47122223713346306,7.0,12.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
0.15,4.0,-0.24231698315775346,11.0,9.0,0.0,6.0,1.0,2.0,1.0,0.0,0.0,-1.0,10.0
-0.25,4.0,-0.5184945984030062,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,1887.0,3.0,10.0
-0.25,5.0,-0.8372978594913776,15.0,10.0,2.0,4.0,0.0,4.0,1.0,15024.0,0.0,2.0,10.0
0.15,4.0,0.5030279138428504,9.0,13.0,4.0,12.0,1.0,4.0,0.0,0.0,0.0,1.0,10.0
-0.6,4.0,-0.671618130577736,9.0,13.0,4.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,10.0
-0.3,4.0,0.27660538146681873,15.0,10.0,2.0,3.0,0.0,4.0,1.0,2407.0,0.0,5.0,10.0
0.25,4.0,1.7291149433000068,1.0,7.0,0.0,12.0,4.0,4.0,1.0,1506.0,0.0,2.0,6.0
0.95,7.0,-0.28874219955713615,9.0,13.0,6.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.5,4.0,0.6477387103267799,11.0,9.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.45,4.0,-0.10095282828960613,11.0,9.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0
0.0,2.0,-0.667910823324163,9.0,13.0,4.0,13.0,3.0,4.0,0.0,0.0,0.0,0.4,10.0
0.3,6.0,0.12697107964839294,14.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,4.0,10.0
-0.85,0.0,-0.0769308192981279,15.0,10.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0
1.35,4.0,-0.5314533986445682,11.0,9.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,-4.0,10.0
0.6,4.0,0.13280044286385292,5.0,4.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.8,4.0,-0.7068627122055962,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,0.8,10.0
-0.95,0.0,-0.4274978192310273,15.0,10.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.5,4.0,1.2995705562638395,9.0,13.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,-2.0,7.0
-0.25,4.0,-1.0890089243776422,15.0,10.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
0.85,4.0,-1.3139804066295377,0.0,6.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0
0.5,4.0,1.5190314030732068,9.0,13.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
1.15,6.0,-0.6954220626719453,15.0,10.0,2.0,14.0,0.0,4.0,1.0,3137.0,0.0,1.2,10.0
-0.65,4.0,1.8544336710729383,9.0,13.0,4.0,12.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0
-0.15,4.0,0.23435717640743475,9.0,13.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,1.6,10.0
0.65,7.0,-1.2892454539354492,15.0,10.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.55,4.0,0.029893310071797626,9.0,13.0,2.0,10.0,5.0,4.0,0.0,0.0,0.0,1.0,10.0
1.1,4.0,-1.2195698852580017,8.0,11.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,-0.8,10.0
-0.05,4.0,-0.44905388176877137,11.0,9.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,0.0,10.0
-0.05,4.0,-0.23279708783466416,14.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,2.0,7.0
0.25,4.0,1.3359139099510167,2.0,8.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,7.0
-0.25,7.0,0.2938418439240421,15.0,10.0,0.0,11.0,4.0,4.0,0.0,0.0,1726.0,-0.4,10.0
